task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,7,150,0,60,0.6119708025,0.5061830154999999,0.2,0.7833333333333333,0.95199300555,0.34002220304999997,0.95199300555
cognate,affinity,7,0,1,200,0.52039364711,0.5977601708899999,0.31,0.66,0.9214393201499999,0.40104567304000005,0.9214393201499999
cognate,affinity,7,150,1,200,0.525943533155,0.5922102848449999,0.3,0.68,0.937673008075,0.41172947492,0.937673008075
cognate,affinity,8,0,0,60,0.5040840586833333,0.6140697593166666,0.3,0.6166666666666667,0.8907135634333335,0.38662950474999996,0.8907135634333335
cognate,affinity,8,25,0,60,0.5776260440166664,0.5405277739833335,0.25,0.6666666666666666,0.9170577104333334,0.33943166641666667,0.9170577104333334
cognate,affinity,8,50,0,60,0.43355345106666665,0.6846003669333333,0.48333333333333334,0.45,0.90866660395,0.4751131528833333,0.90866660395
cognate,affinity,8,75,0,60,0.5203352996499999,0.59781851835,0.36666666666666664,0.6166666666666667,0.9344972042666666,0.41416190461666674,0.9344972042666666
cognate,affinity,8,100,0,60,0.47179070065,0.64636311735,0.4166666666666667,0.48333333333333334,0.8945056491166667,0.4227149484666665,0.8945056491166667
cognate,affinity,8,125,0,60,0.5119390601,0.6062147578999999,0.31666666666666665,0.6666666666666666,0.9282441826166666,0.4163051225166666,0.9282441826166666
cognate,affinity,8,150,0,60,0.5514911639333333,0.5666626540666666,0.25,0.7,0.9320896324833332,0.38059846855,0.9320896324833332
cognate,affinity,8,0,1,200,0.47461372136,0.6435400966399999,0.375,0.565,0.9117923672249999,0.437178645865,0.9117923672249999
cognate,affinity,8,150,1,200,0.513293061365,0.6048607566349999,0.36,0.61,0.93083520538,0.417542144015,0.93083520538
cognate,affinity,9,0,0,60,0.54137813815,0.5767756798499999,0.2833333333333333,0.7166666666666667,0.9218960919333334,0.3805179537833333,0.9218960919333334
cognate,affinity,9,25,0,60,0.40438382688333335,0.7137699911166666,0.5166666666666667,0.4166666666666667,0.9280835823666667,0.5236997554833334,0.9280835823666667
cognate,affinity,9,50,0,60,0.35974496283333335,0.7584088551666666,0.5166666666666667,0.4666666666666667,0.9015633332333333,0.5418183704,0.9015633332333333
cognate,affinity,9,75,0,60,0.3246921539,0.7934616640999999,0.55,0.43333333333333335,0.90668065515,0.58198850125,0.90668065515
cognate,affinity,9,100,0,60,0.43359596706666664,0.6845578509333332,0.4166666666666667,0.5333333333333333,0.9229370887,0.48934112163333326,0.9229370887
cognate,affinity,9,125,0,60,0.5098730422000001,0.6082807757999998,0.38333333333333336,0.6166666666666667,0.9465075111333333,0.43663446893333335,0.9465075111333333
cognate,affinity,9,150,0,60,0.4256661322166666,0.6924876857833333,0.45,0.55,0.9306253797999999,0.5049592475833333,0.9306253797999999
cognate,affinity,9,0,1,200,0.48488507553999993,0.63326874246,0.385,0.595,0.92742007113,0.44253499559,0.92742007113
cognate,affinity,9,150,1,200,0.50100386825,0.6171499497499999,0.34,0.615,0.9270891818,0.42608531354999996,0.9270891818
cognate,margin,0,0,0,60,0.7616004459166668,0.35655337208333315,0.0,0.6666666666666666,0.8452001538,0.08359970788333332,0.7616004459166668
cognate,margin,0,25,0,60,0.7887693179166665,0.3293845000833334,0.016666666666666666,0.8,0.8690408456833333,0.08027152776666667,0.7887693179166665
