aggregation,auc,auc_hi,auc_lo,baseline_auc,flank,mode,n_chunks,rho_off,rho_on,scorer,tokens,total_nt,transform
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,real
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,real
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,real
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,real
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,real
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,real
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,real
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,real
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,real
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,25920,recursive,18,-0.00358770126004312,-0.21401449864527766,markov5,527,52122,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,25920,recursive,18,-0.00358770126004312,-0.21401449864527766,markov5,527,52122,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,25920,recursive,18,-0.00358770126004312,-0.21401449864527766,markov5,527,52122,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,25920,recursive,18,-0.00358770126004312,-0.21401449864527766,markov5,527,52122,real
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,25920,recursive,18,-0.00358770126004312,-0.21401449864527766,markov5,527,52122,real
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,25920,recursive,18,-0.00358770126004312,-0.21401449864527766,markov5,527,52122,real
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,31680,recursive,22,-0.00358770126004312,-0.21401449864527766,markov5,527,63642,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,31680,recursive,22,-0.00358770126004312,-0.21401449864527766,markov5,527,63642,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,31680,recursive,22,-0.00358770126004312,-0.21401449864527766,markov5,527,63642,real
