task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
enhancers,random,HyenaDNA-small-32k:L4_max,model,HyenaDNA-small-32k,L4_max,4,max,,0.761324751448508,8000,2943,256,fwd,0.003,0.7584831525374196,0.7896259336615352,0.7733268923831762,0.3985730462861703,0.07002039428959891,0.07142857142857142,76,0.389530931339225,0.3932038834951456,13
enhancers,random,HyenaDNA-small-32k:L4_max,model,HyenaDNA-small-32k,L4_max,4,max,,0.761324751448508,8000,2943,256,rc,0.003,,,0.7504558234563887,0.3727490541778737,0.05302515295717199,0.05409153952843273,97,0.3249490142760027,0.32662968099861306,14
enhancers,random,HyenaDNA-small-32k:L4_last,model,HyenaDNA-small-32k,L4_last,4,last,,0.6956522282226695,8000,2943,256,fwd,0.003,0.6988682575763264,0.7336024730637352,0.7169978275648037,0.3115869676055922,0.07138001359619306,0.07281553398058252,96,0.3201903467029232,0.3217753120665742,14
enhancers,random,HyenaDNA-small-32k:L4_last,model,HyenaDNA-small-32k,L4_last,4,last,,0.6956522282226695,8000,2943,256,rc,0.003,,,0.7315666287352585,0.34828421954896105,0.03874915023793338,0.03952843273231623,138,0.3371855880353501,0.340499306518724,12
splice_sites_all,shipped,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.6936851211092699,8001,2976,256,fwd,0.003,0.6875246450803444,0.7143620299175995,0.7012841097298383,0.24964643179046075,0.016824395373291272,0.027491408934707903,160,0.19242902208201892,0.26288659793814434,23
splice_sites_all,shipped,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.6936851211092699,8001,2976,256,rc,0.003,,,0.687415797921382,0.24117113898518128,0.027339642481598318,0.041237113402061855,103,0.16929547844374343,0.23883161512027493,25
splice_sites_all,shipped,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.6496111728895072,8001,2976,256,fwd,0.003,0.6538753406249813,0.6828287030134853,0.6693653554862308,0.20858264125575038,0.02103049421661409,0.03436426116838488,245,0.15036803364879076,0.22508591065292097,28
splice_sites_all,shipped,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.6496111728895072,8001,2976,256,rc,0.003,,,0.6639841004713142,0.19152363739144881,0.013669821240799159,0.022336769759450172,148,0.15247108307045215,0.22164948453608246,34
splice_sites_all,shipped,HyenaDNA-small-32k:L2_last,model,HyenaDNA-small-32k,L2_last,2,last,,0.59003011927202,8001,2976,256,fwd,0.003,0.5762585242773494,0.6088673155695584,0.5923648414484247,0.10570487526723774,0.013669821240799159,0.022336769759450172,168,0.11987381703470032,0.17697594501718214,47
splice_sites_all,shipped,HyenaDNA-small-32k:L2_last,model,HyenaDNA-small-32k,L2_last,2,last,,0.59003011927202,8001,2976,256,rc,0.003,,,0.5981367817510131,0.1115323827407824,0.014721345951629864,0.024054982817869417,178,0.14721345951629863,0.218213058419244,27
splice_sites_all,shipped,HyenaDNA-small-32k:L3_mean,model,HyenaDNA-small-32k,L3_mean,3,mean,,0.6988858623771521,8001,2976,256,fwd,0.003,0.6898071237655802,0.7192173649426633,0.7038854348641351,0.2458971357084456,0.014721345951629864,0.022336769759450172,286,0.20294426919032596,0.28350515463917525,24
