auc,auc_hi,auc_lo,flank,mode,n_chunks,rho_off,rho_on,seed,transform
0.29937727036844836,0.35155881573457065,0.24985306849691893,2880,recursive,2,0.046387198448701754,-0.06834340695896642,2,shuffle_mono
0.30851063829787234,0.36139530979488255,0.25720449307865567,4320,recursive,3,0.004425700708725793,-0.11732120580074411,2,shuffle_mono
0.3180591593149974,0.3700370115229386,0.265213810904198,5760,recursive,4,-0.010037754469274247,-0.14672699816643578,2,shuffle_mono
0.32815256875973015,0.38003223565700733,0.2753001484728315,8640,recursive,6,-0.023647202884377574,-0.16182318133500204,2,shuffle_mono
0.3328489880643487,0.3865903927927215,0.28038129529971695,11520,recursive,8,-0.022966134458739473,-0.14392965356886125,2,shuffle_mono
0.3368448365334717,0.39015185693779103,0.2838480903035713,14400,recursive,10,-0.023580385938240623,-0.15338350906911283,2,shuffle_mono
0.34512195121951217,0.39853419940313717,0.29194572513915895,17280,recursive,12,-0.03950350387597967,-0.16505296959110016,2,shuffle_mono
0.3449922158796056,0.39775271157114195,0.2910369761860203,20160,recursive,14,-0.040639842661921534,-0.17000752109546063,2,shuffle_mono
0.3659314997405293,0.42113493860535833,0.3129520176200415,1440,recursive,1,-0.04197658138813859,-0.20639616034835784,0,shuffle_dinuc
0.3608977685521536,0.41690623561307477,0.30697992367584565,2880,recursive,2,-0.051586743878822575,-0.24346511093322842,0,shuffle_dinuc
0.3256616502335236,0.3800426741440867,0.2739473300638832,4320,recursive,3,-0.012210579118877875,-0.21359347980643287,0,shuffle_dinuc
0.3226258432797094,0.376014035950428,0.27092485913698694,5760,recursive,4,0.006710158056982023,-0.1932961221123606,0,shuffle_dinuc
0.3201868188894655,0.37467459053490426,0.2687095623776192,8640,recursive,6,0.0033605251135358878,-0.19862770148827102,0,shuffle_dinuc
0.30454073689673067,0.35886672989868984,0.2538974754076196,11520,recursive,8,0.02067643605458522,-0.15642756065755142,0,shuffle_dinuc
0.309133367929424,0.3624655303686598,0.2584101439191306,14400,recursive,10,0.008703303756307646,-0.17208561908030381,0,shuffle_dinuc
0.3270627919045148,0.38035674925485913,0.2740134164884007,17280,recursive,12,-0.003944457581934884,-0.18464139926796522,0,shuffle_dinuc
0.32099117799688637,0.3756433003352916,0.26822994353292134,20160,recursive,14,0.009789304184705049,-0.18054163686734837,0,shuffle_dinuc
0.4006746237675143,0.4590800375928757,0.3470305955335484,1440,recursive,1,-0.1399000705018181,-0.31188071898033526,1,shuffle_dinuc
0.4160093409444733,0.4745224949725225,0.3610385396480093,2880,recursive,2,-0.11566882345878132,-0.3057764772624551,1,shuffle_dinuc
0.3468344577062792,0.4039369854561745,0.29559402874739305,4320,recursive,3,-0.03508323050531029,-0.16412901443535052,1,shuffle_dinuc
0.3399844317592112,0.3968945311843498,0.28885666688899686,5760,recursive,4,-0.04914105086139958,-0.166191797951119,1,shuffle_dinuc
0.31440062272963154,0.3700384881811845,0.2650216260709484,8640,recursive,6,-0.017947263485378607,-0.18380437035396832,1,shuffle_dinuc
0.2960300985988583,0.3498612848384382,0.24655642460308774,11520,recursive,8,0.0022406646833797775,-0.17165787980902775,1,shuffle_dinuc
