model,task,split,config,train_cv_auc
HyenaDNA-small-32k,H3K4me3,cluster,L4_max,0.8597477178812385
HyenaDNA-small-32k,H3K4me3,cluster,L4_last,0.7692074863271486
HyenaDNA-small-32k,H3K4me3,random,L2_mean,0.8963472332274031
HyenaDNA-small-32k,H3K4me3,random,L2_max,0.8566737897286028
HyenaDNA-small-32k,H3K4me3,random,L2_last,0.7433558369985697
HyenaDNA-small-32k,H3K4me3,random,L3_mean,0.8986738806539258
HyenaDNA-small-32k,H3K4me3,random,L3_max,0.859843779157507
HyenaDNA-small-32k,H3K4me3,random,L3_last,0.7361440203385995
HyenaDNA-small-32k,H3K4me3,random,L4_mean,0.8956059237142937
HyenaDNA-small-32k,H3K4me3,random,L4_max,0.8625726032492399
HyenaDNA-small-32k,H3K4me3,random,L4_last,0.7657442427370144
