task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
splice_sites_all,cluster,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.8468950927313128,8001,2977,2048,rc,0.003,,,0.8449809711402336,0.5144319192236902,0.21946375372393248,0.2634207240948814,19,0.6206554121151936,0.6641697877652933,6
splice_sites_all,random,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.8638710096390918,8000,2976,2048,fwd,0.003,0.8631592094674159,0.8833501199259496,0.8726292965072826,0.5797973282348354,0.2627526467757459,0.26778656126482214,21,0.6669874879692012,0.6739130434782609,6
splice_sites_all,random,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.8638710096390918,8000,2976,2048,rc,0.003,,,0.8637913907292654,0.5485666607108971,0.20596727622714148,0.21047430830039526,27,0.6650625601539942,0.6709486166007905,8
splice_sites_all,random,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.8584152107586925,8000,2976,2048,fwd,0.003,0.8561621619719119,0.8745183261373163,0.865172244211793,0.5505310828926199,0.28873917228103946,0.29446640316205536,18,0.6515880654475458,0.6600790513833992,8
splice_sites_all,random,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.8584152107586925,8000,2976,2048,rc,0.003,,,0.8615934060024696,0.5354582300222459,0.2502406159769009,0.25592885375494073,21,0.6361886429258903,0.6413043478260869,8
splice_sites_all,random,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.843821238323048,8000,2976,2048,fwd,0.003,0.8443334037098726,0.8634714643246253,0.8539208458868224,0.5267453448138172,0.2271414821944177,0.23221343873517786,24,0.6063522617901829,0.6156126482213439,9
splice_sites_all,random,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.843821238323048,8000,2976,2048,rc,0.003,,,0.8524847610671401,0.5188300376969814,0.20500481231953802,0.20948616600790515,21,0.6188642925890279,0.6235177865612648,9
promoter_tata,shipped,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,,0.9317250623463672,5059,212,2048,fwd,0.003,0.9482012833636305,0.9865789811835166,0.967871128515486,0.7924528301886793,0.6698113207547169,0.6862745098039216,3,0.8584905660377359,0.8823529411764706,1
promoter_tata,shipped,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,,0.9317250623463672,5059,212,2048,rc,0.003,,,0.8462976148095408,0.5471698113207547,0.3490566037735849,0.3627450980392157,7,0.6037735849056604,0.6274509803921569,6
promoter_tata,shipped,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,cv,0.9319249897415132,5059,212,2048,fwd,0.003,0.9468339384127296,0.987189109528307,0.9682271270914916,0.7924528301886793,0.7452830188679245,0.7647058823529411,3,0.8490566037735849,0.8529411764705882,3
promoter_tata,shipped,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,cv,0.9319249897415132,5059,212,2048,rc,0.003,,,0.8572445710217159,0.5660377358490566,0.3867924528301887,0.4019607843137255,7,0.6037735849056604,0.6274509803921569,6
promoter_tata,shipped,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.9270001005567062,5059,212,2048,fwd,0.003,0.9436939128928696,0.982534321932552,0.9637771448914205,0.7735849056603774,0.5943396226415094,0.6176470588235294,4,0.8490566037735849,0.8627450980392157,2
promoter_tata,shipped,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.9270001005567062,5059,212,2048,rc,0.003,,,0.8666785332858669,0.5660377358490566,0.36792452830188677,0.38235294117647056,9,0.6320754716981132,0.6568627450980392,5
promoter_tata,cluster,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.9332057235167784,5059,212,2048,fwd,0.003,0.9001083345273803,0.9636612573330079,0.9362692445399213,0.7190318509781667,0.49122807017543857,0.5288461538461539,6,0.8245614035087719,0.8365384615384616,2
promoter_tata,cluster,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.9332057235167784,5059,212,2048,rc,0.003,,,0.8067490153956318,0.4919691611955877,0.08771929824561403,0.09615384615384616,21,0.5175438596491229,0.5576923076923077,4
promoter_tata,cluster,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.9331156477526426,5059,212,2048,fwd,0.003,0.9147955066137343,0.9680022295140546,0.9435195130683852,0.7757975234238114,0.4824561403508772,0.5192307692307693,6,0.8596491228070176,0.8653846153846154,2
promoter_tata,cluster,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.9331156477526426,5059,212,2048,rc,0.003,,,0.8099713569638382,0.4730472703803728,0.008771929824561403,0.009615384615384616,83,0.5263157894736842,0.5673076923076923,4
promoter_tata,cluster,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.9273859137705599,5059,212,2048,fwd,0.003,0.9104825038703273,0.9641061329091553,0.939312567132116,0.7379537417933816,0.4473684210526316,0.4807692307692308,6,0.8157894736842105,0.8269230769230769,3
promoter_tata,cluster,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.9273859137705599,5059,212,2048,rc,0.003,,,0.8446115288220551,0.5108910520108026,0.008771929824561403,0.009615384615384616,83,0.5789473684210527,0.6057692307692307,4
promoter_tata,random,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,,0.9298215444803407,5059,212,2048,fwd,0.003,0.925577451125627,0.9735812459552142,0.9534799855751892,0.759600175733521,0.43617021276595747,0.43617021276595747,8,0.8723404255319149,0.8723404255319149,2
promoter_tata,random,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,,0.9298215444803407,5059,212,2048,rc,0.003,,,0.8357374684457265,0.4747501098334507,0.3829787234042553,0.3829787234042553,7,0.5425531914893617,0.5425531914893617,7
promoter_tata,random,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,cv,0.9317815159210862,5059,212,2048,fwd,0.003,0.92279533759543,0.9736937814174905,0.9526685899747566,0.740610171340183,0.32978723404255317,0.32978723404255317,8,0.8404255319148937,0.8404255319148937,2
promoter_tata,random,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,cv,0.9317815159210862,5059,212,2048,rc,0.003,,,0.8470068517850703,0.49374011422678865,0.3617021276595745,0.3617021276595745,7,0.5851063829787234,0.5851063829787234,6
promoter_tata,random,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.9262241328953716,5059,212,2048,fwd,0.003,0.9143867712842713,0.9720746230005928,0.9456364947710062,0.740610171340183,0.3191489361702128,0.3191489361702128,8,0.8297872340425532,0.8297872340425532,2
promoter_tata,random,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.9262241328953716,5059,212,2048,rc,0.003,,,0.8517850703209522,0.5127301186201267,0.3723404255319149,0.3723404255319149,7,0.5851063829787234,0.5851063829787234,6
