auc,auc_hi,auc_lo,chunk_index,distance_nt,rho_off,rho_on,scorer,transform
0.40542293720809547,0.463726366543128,0.3529323347463012,8,11520,-0.08710071465663408,-0.108963458092985,nt_v2_50m,real
0.3167099117799689,0.37227642609988354,0.2639060722646875,9,12960,-0.009324009864311774,-0.163489932696715,nt_v2_50m,real
0.41424494032174364,0.46975063950349366,0.358361758965501,10,14400,-0.0015533847776611517,-0.04936861409171049,nt_v2_50m,real
0.3563310845874416,0.4110168299424176,0.3007749362232944,11,15840,-0.03598772550442518,-0.172814812031626,nt_v2_50m,real
0.3158796056045667,0.3683230020238553,0.26331459779186345,12,17280,0.03855729279955533,-0.1286143389040568,nt_v2_50m,real
0.30368448365334716,0.3563632471970324,0.2529003473809757,13,18720,0.025386092344022216,-0.16704368409050543,nt_v2_50m,real
0.28344577062791904,0.33618221025275097,0.23579363372696152,14,20160,0.07180259520823105,0.0615934603302809,nt_v2_50m,real
0.3427867151011936,0.3968819432508425,0.29075035908484664,15,21600,0.030488849237806984,-0.09674089989153702,nt_v2_50m,real
0.33661131292163987,0.3915233901436026,0.2823717396521147,16,23040,0.000894529497696169,-0.16346425560613273,nt_v2_50m,real
0.26984950700570837,0.32095283182406353,0.21975959569123776,17,24480,0.10532377656947682,-0.08769511447181734,nt_v2_50m,real
0.38497664763881684,0.44284956380873663,0.33148059460721946,18,25920,-0.0965283144349107,-0.12070956913735983,nt_v2_50m,real
0.3439024390243902,0.398310280706447,0.2911125639752095,19,27360,0.012868366538993809,-0.06216136410337428,nt_v2_50m,real
0.42638816813700053,0.48365721085641605,0.37176499561766396,20,28800,-0.06248420462608113,-0.10307784155466858,nt_v2_50m,real
0.35049299429164504,0.4057402039268662,0.2959032037089093,21,30240,0.007603123019799626,-0.047743353770200225,nt_v2_50m,real
0.38334198235599376,0.44001520018419127,0.3302953630678956,22,31680,0.04389114996914968,-0.00669410060338194,nt_v2_50m,real
0.3317592112091334,0.3845889724577177,0.277003491103299,23,33120,0.10167280030895154,-0.0020762904977986913,nt_v2_50m,real
0.3896730669434354,0.44606503732541886,0.3328729889719085,24,34560,0.019387192650780698,-0.007026777747693454,nt_v2_50m,real
0.39662688116242867,0.4502346226869053,0.3418806952457868,25,36000,0.047687415419598304,-0.022479098290859808,nt_v2_50m,real
0.4303840166061235,0.4889375501800324,0.37243684701813196,26,37440,0.020102446444116646,-0.011862683850500232,nt_v2_50m,real
0.3584327970939284,0.41344247593235917,0.3044793619481985,27,38880,-0.03922760989141876,-0.20668689178168215,nt_v2_50m,real
0.3741048261546445,0.42727648151971914,0.32063184624293106,0,0,-0.035407126767624315,-0.2925509779082702,nt_v2_50m,shuffle_mono
0.3909963674104826,0.4493924859954096,0.33519578911395026,1,1440,-0.07882378614558441,-0.1964330473854646,nt_v2_50m,shuffle_mono
0.4163466528282304,0.47265167364016736,0.3614531052258229,2,2880,-0.09301504427081915,-0.2780906477507859,nt_v2_50m,shuffle_mono
0.4128956927867151,0.471385915867344,0.35342145600537167,3,4320,-0.04702193546547455,-0.07602549028632781,nt_v2_50m,shuffle_mono
0.3257913855734302,0.38136955716237464,0.2726591394488722,4,5760,0.07671683470432526,-0.11142538041227514,nt_v2_50m,shuffle_mono
0.25768033212247016,0.309816692053154,0.2092950402428788,5,7200,0.1156407532628533,-0.14096342558855568,nt_v2_50m,shuffle_mono
0.3368188894654904,0.39234830481657185,0.2823884232246365,6,8640,0.015419750977533536,-0.09325418717350076,nt_v2_50m,shuffle_mono
0.4265179034769071,0.4851470522166262,0.37003296949376363,7,10080,-0.045250872504167296,-0.07676009754778257,nt_v2_50m,shuffle_mono
0.3203165542293721,0.37458486554329107,0.2684690700118368,8,11520,0.001183862105538952,-0.0883495751418081,nt_v2_50m,shuffle_mono
0.46652828230409965,0.5251332370492635,0.40890250936144346,9,12960,-0.14761055779008903,-0.2247098523404794,nt_v2_50m,shuffle_mono
0.3463155163466528,0.40053920459138403,0.29323488746164716,10,14400,-0.05445014373988499,-0.2178244682893887,nt_v2_50m,shuffle_mono
0.36668396471198755,0.42298421388172397,0.312081632760792,11,15840,-0.05468699050721552,-0.1705689734133013,nt_v2_50m,shuffle_mono
0.34244940321743644,0.398257833578694,0.2896382362921282,12,17280,-0.06428888779511811,-0.17612098244117774,nt_v2_50m,shuffle_mono
0.44603009859885834,0.503185353999126,0.39001646721000177,13,18720,-0.04692771676002084,-0.15146102495068936,nt_v2_50m,shuffle_mono
0.3500259470679813,0.40504159266327266,0.2938697891879884,14,20160,-0.026144883633903042,-0.15321004750677567,nt_v2_50m,shuffle_mono
0.3223663725998962,0.3755266246233796,0.2703903169499113,15,21600,0.05420465323846045,0.01934629400604886,nt_v2_50m,shuffle_mono
0.3632589517384536,0.4190161424960594,0.3068235947440857,16,23040,-0.031243487304323813,-0.1159924010551018,nt_v2_50m,shuffle_mono
0.38876491956408926,0.44417923815745675,0.33736731714668644,17,24480,0.014378158289512763,-0.03140590563041948,nt_v2_50m,shuffle_mono
0.3407368967306694,0.39823938681219345,0.2884838927250556,18,25920,0.024991525706741808,-0.01472387496400901,nt_v2_50m,shuffle_mono
0.427322262584328,0.4859609790971567,0.3709338058707104,19,27360,-0.06429130249949912,-0.190278873087074,nt_v2_50m,shuffle_mono
0.3813440581214323,0.4356160850265532,0.32609969608817535,20,28800,-0.010962599302439693,-0.20785624360743493,nt_v2_50m,shuffle_mono
0.35993772703684485,0.4149485012302101,0.30269767908386375,21,30240,-0.01979938213535604,-0.08143650331499873,nt_v2_50m,shuffle_mono
0.36741048261546444,0.42628078212368803,0.3111915759236962,22,31680,-0.017432350217368064,-0.11535065284538623,nt_v2_50m,shuffle_mono
0.351141670991178,0.40488777413614696,0.29346355032289856,23,33120,-0.010545547943875423,-0.11900369710227322,nt_v2_50m,shuffle_mono
0.33404255319148934,0.390100356470089,0.28173175287750896,24,34560,0.02674567768218273,-0.1511006306407248,nt_v2_50m,shuffle_mono
0.32947586922677735,0.3854146283219091,0.2778883406439733,25,36000,0.0023264109135224774,-0.14315412383098644,nt_v2_50m,shuffle_mono
0.35451478982874934,0.4118569144693455,0.30098063563253435,26,37440,-0.00934180981500146,-0.16758751826850543,nt_v2_50m,shuffle_mono
0.36499740529320185,0.4215115416288456,0.30798915692007794,27,38880,-0.050194302090552416,-0.22273786285525185,nt_v2_50m,shuffle_mono
0.340373637778931,0.3956658049588895,0.2869665930062431,0,0,0.041453041183523984,-0.08526018657201295,nt_v2_50m,shuffle_dinuc
