task,split,features,family,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
promoter_tata,random,pwm,trivial,5059,212,2400,rc,,,,0.8482690227190767,0.5507101274068027,0.2127659574468085,0.2127659574468085,14,0.6063829787234043,0.6063829787234043,4
promoter_tata,random,gc_cpg,trivial,5059,212,2,fwd,0.03,0.812584979632314,0.9134309166734705,0.8651280201947349,0.5992867130446529,0.26595744680851063,0.26595744680851063,11,0.648936170212766,0.648936170212766,6
promoter_tata,random,gc_cpg,trivial,5059,212,2,rc,0.03,,,0.8651280201947349,0.5992867130446529,0.26595744680851063,0.26595744680851063,11,0.648936170212766,0.648936170212766,6
promoter_tata,random,kmer3,trivial,5059,212,64,fwd,0.03,0.8314833628397684,0.923265812819814,0.8803642264695275,0.5697001318001408,0.39361702127659576,0.39361702127659576,10,0.6702127659574468,0.6702127659574468,6
promoter_tata,random,kmer3,trivial,5059,212,64,rc,0.03,,,0.8841507392715471,0.5886901361934788,0.2978723404255319,0.2978723404255319,11,0.6702127659574468,0.6702127659574468,5
promoter_tata,random,kmer4,trivial,5059,212,256,fwd,0.003,0.8651671649104681,0.9419109593686343,0.9079516768842408,0.6266701449801548,0.3404255319148936,0.3404255319148936,11,0.723404255319149,0.723404255319149,5
promoter_tata,random,kmer4,trivial,5059,212,256,rc,0.003,,,0.8994771006130545,0.6266701449801548,0.26595744680851063,0.26595744680851063,11,0.723404255319149,0.723404255319149,5
promoter_tata,random,kmer5,trivial,5059,212,1024,fwd,0.003,0.8683687788421699,0.9435400837214004,0.9109267940858276,0.6266701449801548,0.2553191489361702,0.2553191489361702,12,0.7127659574468085,0.7127659574468085,5
promoter_tata,random,kmer5,trivial,5059,212,1024,rc,0.003,,,0.8999278759466283,0.6266701449801548,0.35106382978723405,0.35106382978723405,8,0.7021276595744681,0.7021276595744681,5
promoter_tata,random,kmer6,trivial,5059,212,4096,fwd,0.003,0.8508473201805652,0.9312573631886264,0.894248106743599,0.6076801405868169,0.3723404255319149,0.3723404255319149,6,0.6595744680851063,0.6595744680851063,5
promoter_tata,random,kmer6,trivial,5059,212,4096,rc,0.003,,,0.8957807428777498,0.6456601493734929,0.425531914893617,0.425531914893617,8,0.6914893617021277,0.6914893617021277,5
