task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
splice_sites_all,cluster,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.8970476750985954,8001,2977,4096,fwd,0.003,0.8921411434474825,0.910601949599634,0.9019305980391014,0.6318261690078679,0.3684210526315789,0.4069912609238452,26,0.7706057596822244,0.8102372034956304,5
splice_sites_all,cluster,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.8970476750985954,8001,2977,4096,rc,0.003,,,0.8550433281604587,0.5281025572394724,0.2571996027805363,0.3021223470661673,19,0.6266137040714995,0.6779026217228464,7
splice_sites_all,random,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9305732387469782,8000,2976,4096,fwd,0.003,0.9344763934088781,0.9478662144199087,0.941732293389971,0.7217946224777508,0.5255052935514918,0.532608695652174,11,0.8565928777670837,0.857707509881423,3
splice_sites_all,random,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9305732387469782,8000,2976,4096,rc,0.003,,,0.9139374166731346,0.6371195012522914,0.4225216554379211,0.4278656126482213,13,0.7526467757459095,0.7598814229249012,5
splice_sites_all,random,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9243618283441943,8000,2976,4096,fwd,0.003,0.9310847730739056,0.9453790376806682,0.9379215496452807,0.713471297795072,0.5033686236766122,0.5108695652173914,8,0.8575553416746872,0.8606719367588933,2
splice_sites_all,random,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9243618283441943,8000,2976,4096,rc,0.003,,,0.910348095584439,0.6374409582801489,0.38787295476419636,0.3942687747035573,14,0.753609239653513,0.7598814229249012,5
splice_sites_all,random,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.8951504489190825,8000,2976,4096,fwd,0.003,0.9013424597401598,0.9174674042156507,0.9094445502212842,0.638011350630737,0.4215591915303176,0.4298418972332016,9,0.7786333012512031,0.7865612648221344,5
splice_sites_all,random,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.8951504489190825,8000,2976,4096,rc,0.003,,,0.8589698820326404,0.5327758220662411,0.2271414821944177,0.23122529644268774,21,0.6236766121270453,0.6284584980237155,5
promoter_tata,shipped,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9408308325727148,5059,212,4096,fwd,0.003,0.9301010056457304,0.9777315078814948,0.9572801708793165,0.7735849056603774,0.6698113207547169,0.696078431372549,3,0.8490566037735849,0.8725490196078431,1
promoter_tata,shipped,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9408308325727148,5059,212,4096,rc,0.003,,,0.8600035599857602,0.6226415094339622,0.27358490566037735,0.28431372549019607,14,0.5943396226415094,0.6176470588235294,5
