task,split,family,entry,auc,auc_lo,auc_hi,auc_rc,mcc,tpr1,clustercov1,missrun1,tpr10,clustercov10,n_test
promoter_tata,shipped,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_cls),0.9482022071911712,0.9211257337404128,0.9719797178130511,0.8522605909576362,0.7547169811320755,0.5188679245283019,0.5392156862745098,5,0.8490566037735849,0.8529411764705882,212
promoter_tata,shipped,model,HyenaDNA-small-32k train-CV config (L4_mean),0.9445532217871128,0.91790400396461,0.9704234502212375,0.8899964400142399,0.7169811320754716,0.4716981132075472,0.4901960784313725,8,0.7830188679245284,0.7941176470588235,212
promoter_tata,shipped,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.9445532217871128,0.91790400396461,0.9704234502212375,0.8899964400142399,0.7169811320754716,0.4716981132075472,0.4901960784313725,8,0.7830188679245284,0.7941176470588235,212
promoter_tata,shipped,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L4_mean),0.9445532217871128,0.91790400396461,0.9704234502212375,0.8899964400142399,0.7169811320754716,0.4716981132075472,0.4901960784313725,8,0.7830188679245284,0.7941176470588235,212
promoter_tata,shipped,model_positional,NT-v2-50M POST-HOC windowed readout (L6_win8),0.9572801708793164,0.9301010056457304,0.9777315078814948,0.8600035599857602,0.7735849056603774,0.6698113207547169,0.696078431372549,3,0.8490566037735849,0.8725490196078431,212
promoter_tata,shipped,model_positional,HyenaDNA-small-32k POST-HOC windowed readout (L3_win8),0.9682271270914916,0.9468339384127296,0.987189109528307,0.8572445710217159,0.7924528301886793,0.7452830188679245,0.7647058823529411,3,0.8490566037735849,0.8529411764705882,212
promoter_tata,cluster,trivial,best trivial: onehot,0.940565699964196,0.9082296019282634,0.9665195625953824,0.7423021840315072,0.7190318509781667,0.4824561403508772,0.5096153846153846,4,0.8070175438596491,0.8173076923076923,212
promoter_tata,cluster,trivial,trivial: onehot,0.940565699964196,0.9082296019282634,0.9665195625953824,0.7423021840315072,0.7190318509781667,0.4824561403508772,0.5096153846153846,4,0.8070175438596491,0.8173076923076923,212
promoter_tata,cluster,trivial,trivial: kmer5,0.9016290726817042,0.8523674895202609,0.9409806955466188,0.8631399928392409,0.5865786152716622,0.3421052631578947,0.3653846153846153,7,0.6842105263157895,0.7307692307692307,212
promoter_tata,cluster,trivial,trivial: pwm,0.8591120658789833,0.8039980251187148,0.9073008601497454,0.825187969924812,0.5487348336412324,0.131578947368421,0.1346153846153846,17,0.6052631578947368,0.6057692307692307,212
