corpus,unit,n,bulk,util,score_skew
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,0.5255896253092035,0.4937873973361124,-0.7242389332352012
ProteinGym,P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4323385599158205,0.3527224098748561,-0.8920072445377136
ProteinGym,P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.404268802002792,0.19513915660108172,-0.8920072445377136
ProteinGym,P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.40015125467382845,0.2637472871405613,-0.8920072445377136
ProteinGym,P84126_THETH_Chan_2017,1519,0.6046739267075025,0.6570073214230964,0.2894191540503765
ProteinGym,PTEN_HUMAN_Matreyek_2021,5083,0.46503037651932994,0.48450131239406163,0.17593538541230686
ProteinGym,PTEN_HUMAN_Mighell_2018,7260,0.5185316521668099,0.5296990236140969,0.16202176443837535
ProteinGym,R1AB_SARS2_Flynn_growth_2022,5725,0.10475530388231208,-0.01371450876617269,-2.113607990381006
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,0.4975791061453566,0.43528843567547115,0.0576232599048832
ProteinGym,REV_HV1H2_Fernandes_2016,2147,0.24038302396860214,0.2683697401901994,0.4058496548721514
ProteinGym,RL401_YEAST_Mavor_2016,1253,0.5178520925871771,0.625962950515061,0.07203721235472028
ProteinGym,RL401_YEAST_Roscoe_2014,1380,0.5300172230531615,0.7975990646154965,0.13272993072275635
ProteinGym,SUMO1_HUMAN_Weile_2017,1700,0.5093076909878026,0.45109002049205194,-0.04295934097369653
ProteinGym,SYUA_HUMAN_Newberry_2020,2497,0.1372572280738241,0.17686881054118136,-0.6076389454977321
ProteinGym,TAT_HV1BR_Fernandes_2016,1577,0.017439229362337605,0.04263652169676039,-1.2077029949581117
ProteinGym,TPK1_HUMAN_Weile_2017,3181,0.33859624219122403,0.24732640576874648,0.5023576565425312
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,0.5386584743980068,0.4744040409625375,-0.13709220261980024
ProteinGym,TRPC_SACS2_Chan_2017,1519,0.6525339432224486,0.6721833311528516,0.034830748714557644
ProteinGym,TRPC_THEMA_Chan_2017,1519,0.46369864914199604,0.44351665378888727,-0.01986517610484332
ProteinGym,UBC9_HUMAN_Weile_2017,2563,0.4725845029403409,0.3069214876484121,-0.49706539860649673
ProteinGym,VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.4933003567175601,0.5393227053705436,-0.40409092200980457
SSMuLA,DHFR,8000,0.3971793689387237,0.8498728379068701,0.5038220370382757
SSMuLA,GB1,149361,0.14008736611181097,0.27574308591916175,0.10809204071547533
SSMuLA,ParD2,7882,0.5120166543927807,0.4757497491844246,-0.22345177361589316
SSMuLA,ParD3,7882,0.5101468218303047,0.43314035416647334,-0.0048599275409036
SSMuLA,T7,6725,0.04124105710860635,0.06129788706876077,0.41641955186059987
SSMuLA,TEV,159132,0.12207440506468949,0.20730757346126266,0.941846390311012
SSMuLA,TrpB3A,7971,0.18695092388594298,0.23125231626165788,0.8200239726745552
SSMuLA,TrpB3B,7996,0.04277268038859753,0.07449376744414235,0.982494722579131
SSMuLA,TrpB3C,7994,0.10216811722620618,0.10047433724948995,1.2602087673521394
SSMuLA,TrpB3D,7763,0.26122036293044126,0.5174184058095154,0.3235577388252191
SSMuLA,TrpB3E,7964,0.04887280454439629,0.16181989761483165,0.5808071431816826
SSMuLA,TrpB3F,7737,0.12351236892253206,0.2647344392346319,0.7729187910122053
SSMuLA,TrpB3G,7891,0.06806900444022336,0.33964884620817093,0.9698955668934726
SSMuLA,TrpB3H,7716,-0.029057648417925172,0.09059897980690633,1.0097352801458745
SSMuLA,TrpB3I,7784,0.4919672695042789,0.5563270709760761,0.40122144773400154
SSMuLA,TrpB4,159129,0.18616170581322103,0.5763903610402054,0.4515825127809932
rubisco,rubisco Vmax,4923,0.36446294799268436,0.42857956154830773,-0.0018149484841498598
rubisco,rubisco K_C,4923,0.3664611245181382,0.5017380727311492,-0.0018149484841498598
rubisco,rubisco fitness,4923,0.39147742542211234,0.45211648139223204,-0.0018149484841498598
