landscape,kind,proxy,frac,utility
TrpB3G,Enzyme activity,n_mut,0.05,-0.03636126103704115
TrpB3G,Enzyme activity,n_mut,0.1,-0.05765118012773585
TrpB3H,Enzyme activity,esm2_wtm,0.01,0.5193505245651753
TrpB3H,Enzyme activity,esm2_wtm,0.05,0.23311539858981867
TrpB3H,Enzyme activity,esm2_wtm,0.1,0.17332890908726847
TrpB3H,Enzyme activity,blosum62,0.01,0.17140208176662308
TrpB3H,Enzyme activity,blosum62,0.05,0.10847718928275436
TrpB3H,Enzyme activity,blosum62,0.1,0.1208823259228721
TrpB3H,Enzyme activity,hydropathy,0.01,0.030482250876266857
TrpB3H,Enzyme activity,hydropathy,0.05,0.033107484906517666
TrpB3H,Enzyme activity,hydropathy,0.1,0.047809477704020345
TrpB3H,Enzyme activity,n_mut,0.01,-0.0036522918054249513
TrpB3H,Enzyme activity,n_mut,0.05,-0.038248815431047585
TrpB3H,Enzyme activity,n_mut,0.1,-0.03994381852741553
TrpB3I,Enzyme activity,esm2_wtm,0.01,0.7132416326447796
TrpB3I,Enzyme activity,esm2_wtm,0.05,0.6093399295024099
TrpB3I,Enzyme activity,esm2_wtm,0.1,0.6094759259144705
TrpB3I,Enzyme activity,blosum62,0.01,0.053111457616277204
TrpB3I,Enzyme activity,blosum62,0.05,0.13322540965135138
TrpB3I,Enzyme activity,blosum62,0.1,0.1545359002815504
TrpB3I,Enzyme activity,hydropathy,0.01,0.253872624323181
TrpB3I,Enzyme activity,hydropathy,0.05,0.34608102594509427
TrpB3I,Enzyme activity,hydropathy,0.1,0.36219146629806104
TrpB3I,Enzyme activity,n_mut,0.01,0.007171044813305807
TrpB3I,Enzyme activity,n_mut,0.05,-0.06392982400756503
TrpB3I,Enzyme activity,n_mut,0.1,-0.10043076286009898
TrpB4,Enzyme activity,esm2_wtm,0.01,0.5101710091489777
TrpB4,Enzyme activity,esm2_wtm,0.05,0.5587802471404482
TrpB4,Enzyme activity,esm2_wtm,0.1,0.5903574511673025
TrpB4,Enzyme activity,blosum62,0.01,0.07243288202928921
TrpB4,Enzyme activity,blosum62,0.05,0.13821223071845487
TrpB4,Enzyme activity,blosum62,0.1,0.19387439576065812
TrpB4,Enzyme activity,hydropathy,0.01,0.034736655328405225
TrpB4,Enzyme activity,hydropathy,0.05,0.11531158929888603
TrpB4,Enzyme activity,hydropathy,0.1,0.17799759360454478
TrpB4,Enzyme activity,n_mut,0.01,-0.017956411965296164
TrpB4,Enzyme activity,n_mut,0.05,-0.01623776928240468
TrpB4,Enzyme activity,n_mut,0.1,-0.045570809953748674
