corpus,unit,n,bulk,util_0.01,util_0.1
ProteinGym,REV_HV1H2_Fernandes_2016,2147,0.24038302396860214,0.1373025333855813,0.23876168716690127
ProteinGym,RL401_YEAST_Mavor_2016,1253,0.5178520925871771,0.5517452266044672,0.6352660137347459
ProteinGym,RL401_YEAST_Roscoe_2014,1380,0.5300172230531615,0.5925303311435356,0.721483964768314
ProteinGym,SUMO1_HUMAN_Weile_2017,1700,0.5093076909878026,0.3113191878477418,0.46934199222902895
ProteinGym,SYUA_HUMAN_Newberry_2020,2497,0.1372572280738241,-0.20827536608930028,0.09617509060655949
ProteinGym,TAT_HV1BR_Fernandes_2016,1577,0.017439229362337605,0.17042908077209465,0.00019092170707138526
ProteinGym,TPK1_HUMAN_Weile_2017,3181,0.33859624219122403,0.14956264070924866,0.23249193415170874
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,0.5386584743980068,0.1978911269209119,0.3852990889072978
ProteinGym,TRPC_SACS2_Chan_2017,1519,0.6525339432224486,0.7815205429005566,0.7222305559137746
ProteinGym,TRPC_THEMA_Chan_2017,1519,0.46369864914199604,0.4168926632320536,0.4844840024166909
ProteinGym,UBC9_HUMAN_Weile_2017,2563,0.4725845029403409,0.03055377497288125,0.2253100802648293
ProteinGym,VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.4933003567175601,0.44876012699340745,0.529955204971655
SSMuLA,DHFR,8000,0.3971793689387237,0.6625283294895339,0.7421032546293255
SSMuLA,GB1,149361,0.14008736611181097,0.06950009505449908,0.1677906767229674
SSMuLA,ParD2,7882,0.5120166543927807,0.49203899337477736,0.46076099758561845
SSMuLA,ParD3,7882,0.5101468218303047,0.4760132518989741,0.41829408937498685
SSMuLA,T7,6725,0.04124105710860635,0.14086137374458774,0.05342859701169058
SSMuLA,TEV,159132,0.12207440506468949,0.33774719929195646,0.25076492890927876
SSMuLA,TrpB3A,7971,0.18695092388594298,0.4355486435772506,0.2793097693983305
SSMuLA,TrpB3B,7996,0.04277268038859753,0.18810940165626283,0.08206463106628958
SSMuLA,TrpB3C,7994,0.10216811722620618,0.25793397262622747,0.11997077532444489
SSMuLA,TrpB3D,7763,0.26122036293044126,0.44586307577259016,0.488350873870335
SSMuLA,TrpB3E,7964,0.04887280454439629,0.689280014892059,0.2448824644161365
SSMuLA,TrpB3F,7737,0.12351236892253206,0.7136882341415007,0.392061273379484
SSMuLA,TrpB3G,7891,0.06806900444022336,0.6971824545861405,0.5073462913153185
SSMuLA,TrpB3H,7716,-0.029057648417925172,0.540422509637706,0.1479258478734218
SSMuLA,TrpB3I,7784,0.4919672695042789,0.5685694845130285,0.5086532064201339
SSMuLA,TrpB4,159129,0.18616170581322103,0.5132961980885183,0.5854724792195427
rubisco,rubisco Vmax,4923,0.36446294799268436,0.34658346078096575,0.4253698864562833
rubisco,rubisco K_C,4923,0.3664611245181382,0.3816560916038284,0.4915163623403256
rubisco,rubisco fitness,4923,0.39147742542211234,0.38587142584089035,0.445996195810537
