assay,molecule,selection,n,dropped,random,random_best,zero_shot_esm2,zero_shot_esm2_best,supervised_greedy,supervised_greedy_best,supervised_ucb,supervised_ucb_best,planner,planner_best,sup_eps10,sup_eps10_best,sup_eps25,sup_eps25_best,sup_eps50,sup_eps50_best
CP2C9_HUMAN_Amorosi_abundance_2021,CP2C9,"Growth, activity",6370,0,0.027083333333333334,0.8501183378197913,0.015625,0.82384286485058,0.050520833333333334,0.8688665350636992,0.048177083333333336,0.8725613463191262,0.026041666666666668,0.8381635725454059,0.047135416666666666,0.8705783299419445,0.0453125,0.8683658809162104,0.0453125,0.8605510385281554
CP2C9_HUMAN_Amorosi_activity_2021,CP2C9,"Growth, activity",6142,0,0.030874316939890716,0.95018685340151,0.16393442622950818,0.9696295324484232,0.05519125683060109,0.9583260947970984,0.04617486338797814,0.9583131201542965,0.16721311475409834,0.9704438671579054,0.04781420765027322,0.9525152081356333,0.054371584699453544,0.9611628055703622,0.047540983606557376,0.9596333549458641
DYR_ECOLI_Thompson_plusLon_2019,folA,Growth,2363,0,0.07430555555555557,0.8394629787988015,0.20833333333333337,0.8415453149807576,0.11527777777777778,0.85094466829551,0.11666666666666668,0.859380071143184,0.09097222222222222,0.8519699461971828,0.12430555555555557,0.8598284032489312,0.12083333333333333,0.8666104234997323,0.10625000000000001,0.865190331709184
ESTA_BACSU_Nutschel_2020,estA,thermostability,2172,0,0.10075757575757578,0.7920634920634922,0.40909090909090917,1.0,0.34318181818181814,0.8689431913116125,0.32954545454545453,0.8637635756056808,0.5174242424242425,0.9692564745196324,0.3507575757575757,0.8680033416875523,0.3424242424242424,0.86140350877193,0.3045454545454545,0.8742690058479534
I6TAH8_I68A0_Doud_2015,Nucleoproteins,Growth,9462,0,0.021403508771929827,0.8837351843859076,0.021052631578947375,0.9041291441368998,0.1031578947368421,0.9370496853050932,0.09877192982456139,0.9372926345093976,0.0968421052631579,0.9356872702983942,0.10087719298245613,0.9347117203357441,0.09771929824561404,0.9347503316958836,0.07701754385964911,0.921389120195153
IF1_ECOLI_Kelsic_2016,infA,Growth,1367,0,0.14761904761904762,0.9597013404840483,0.1428571428571428,1.0,0.2738095238095238,0.9759972293484904,0.2726190476190476,0.9881595566923359,0.35238095238095235,0.9979159027013812,0.2988095238095238,0.9807704844517785,0.27738095238095234,0.9842867619973108,0.22738095238095235,0.9782381941694169
KKA2_KLEPN_Melnikov_2014,"APH(3’)II, neo",Growth,4960,0,0.03666666666666667,0.8623704145668412,0.060000000000000005,0.9430303546885155,0.08433333333333333,0.9225342808740957,0.07199999999999998,0.9172880019604291,0.05500000000000001,0.8829359202474686,0.07899999999999999,0.9248704589606173,0.06899999999999999,0.9119886280902508,0.065,0.8965841652727021
MK01_HUMAN_Brenan_2016,MAPK1,inhibitor resistance,6809,0,0.03063725490196079,0.7941832340583805,0.0,0.6974450033884596,0.09166666666666669,0.8383764334341841,0.07401960784313726,0.811334182975036,0.06372549019607843,0.8134189362324385,0.08627450980392154,0.817368123342956,0.07573529411764704,0.8136505186597988,0.07132352941176469,0.7964501095342776
MTH3_HAEAE_Rockah-Shmuel_2015,DNA methylase HaeIII,Activity,1777,0,0.12129629629629629,0.8746323529411762,0.1666666666666666,0.8602941176470587,0.17314814814814813,0.8893382352941175,0.14444444444444443,0.8718137254901959,0.16481481481481478,0.8649509803921567,0.17870370370370367,0.8870098039215685,0.17129629629629628,0.8881127450980391,0.1546296296296296,0.8895833333333332
NCAP_I34A1_Doud_2015,Nucleoproteins,Growth,9462,0,0.021403508771929827,0.8786268691294645,0.010526315789473687,0.8058562575371442,0.05105263157894737,0.9138298065142766,0.04333333333333334,0.9138157629673577,0.05333333333333334,0.9191961370047853,0.04789473684210526,0.917760621018165,0.045263157894736845,0.9122038448155922,0.03964912280701754,0.9127685900552599
NUD15_HUMAN_Suiter_2020,NUDT15,"VAMP-seq, drug sensitivity",2844,0,0.05595238095238094,0.9383973846488652,0.10714285714285711,0.9706833991655998,0.12976190476190474,0.9654924098948897,0.11666666666666664,0.9599375423571246,0.09166666666666663,0.9612323051842144,0.13214285714285712,0.9671695512033947,0.11249999999999999,0.9606815590759279,0.08928571428571426,0.9534236639913584
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,TP53,Growth,7467,0,0.024000000000000004,0.873905956581836,0.0,0.8277598522711721,0.06555555555555556,0.8927615601318578,0.06133333333333334,0.8926561115894943,0.035555555555555556,0.8798082755143566,0.06733333333333333,0.8963116908231387,0.059777777777777784,0.8939826285046423,0.04422222222222223,0.88827628342151
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,TP53,Growth,7467,0,0.02511111111111111,0.7576342938132362,0.0,0.6239967234083711,0.10333333333333333,0.8614222445850868,0.08800000000000002,0.8498127360800936,0.08066666666666666,0.844640797546179,0.09600000000000002,0.8679379703347785,0.09266666666666666,0.8611908346865685,0.07488888888888891,0.8366560379453621
P53_HUMAN_Giacomelli_WT_Nutlin_2018,TP53,Growth,7467,0,0.027555555555555555,0.728628076075728,0.013333333333333332,0.6838264816939326,0.08288888888888889,0.7691665354205881,0.066,0.7530002547588169,0.06333333333333334,0.7612986169496472,0.08111111111111112,0.7620956593229316,0.072,0.7678489206614431,0.06266666666666668,0.7619064803684885
P84126_THETH_Chan_2017,TIM Barrell (T. thermophilus),Growth,1519,0,0.12333333333333334,0.9737220204893148,0.7999999999999997,0.9965896104410615,0.5088888888888888,0.9676461802584182,0.5022222222222222,0.9672664282902462,0.9477777777777779,0.9986552469509264,0.5422222222222222,0.9750447548710858,0.5477777777777778,0.9760935487647695,0.4888888888888889,0.9755283435757848
PTEN_HUMAN_Matreyek_2021,PTEN,Protein stability,5083,0,0.039869281045751624,0.9112209352204911,0.1176470588235294,0.9309034483928739,0.040849673202614366,0.9184005921794802,0.04248366013071894,0.9234558977448212,0.11307189542483659,0.9357020390232644,0.041830065359477114,0.9231173857074462,0.042810457516339856,0.918040738953838,0.03921568627450979,0.9085636487987259
