assay,condition,max_k,rho_sum,rho_per_mut,rho_k_vs_truth,rho_k_vs_esm
AMIE_PSEAE_Wrenbeck_2017,random,3,0.6429634246917456,0.5351838939032473,-0.392429714074825,-0.49004580452495033
AMIE_PSEAE_Wrenbeck_2017,random,4,0.6895481477994128,0.5143346690094798,-0.5022419496970254,-0.5800132635052799
AMIE_PSEAE_Wrenbeck_2017,random,5,0.7020417617706785,0.47812220706365555,-0.555485266240017,-0.645793357618746
AMIE_PSEAE_Wrenbeck_2017,random,6,0.721112781523529,0.45821490976195156,-0.5892398501068034,-0.6835773734287243
BLAT_ECOLX_Firnberg_2014,beneficial,1,0.16346440204803453,0.16346440204803453,,
BLAT_ECOLX_Firnberg_2014,beneficial,2,-0.26255557536881724,0.0668307044723276,0.8660292214255735,-0.4028975616186609
BLAT_ECOLX_Firnberg_2014,beneficial,3,-0.46664363038908513,0.011874154673701539,0.9420031121998069,-0.5452357288142989
BLAT_ECOLX_Firnberg_2014,beneficial,4,-0.5838592964621044,-0.02708346108157429,0.9658730596858819,-0.6319573500450198
BLAT_ECOLX_Firnberg_2014,beneficial,5,-0.6529526202022412,-0.0351358996551741,0.9763081789737511,-0.6912528914256927
BLAT_ECOLX_Firnberg_2014,beneficial,6,-0.700510367873703,-0.04969791231331918,0.9824987345238119,-0.7314159625395904
BLAT_ECOLX_Firnberg_2014,random,1,0.7283067926677937,0.7283067926677937,,
BLAT_ECOLX_Firnberg_2014,random,2,0.3420580381851314,0.6319831805046155,0.3967280955912317,-0.49558347675900094
BLAT_ECOLX_Firnberg_2014,random,3,0.0988512682964066,0.5715477006242929,0.5294764741189858,-0.627987662604214
BLAT_ECOLX_Firnberg_2014,random,4,-0.09613927686101431,0.5191008269364592,0.6388599433614124,-0.7053442431509425
BLAT_ECOLX_Firnberg_2014,random,5,-0.245070198135103,0.4652166841159533,0.6967352746806401,-0.7748355573429159
BLAT_ECOLX_Firnberg_2014,random,6,-0.3333655843567489,0.4410161265170641,0.7354203074226339,-0.8041978003470044
DYR_ECOLI_Thompson_plusLon_2019,beneficial,1,0.07343904974300314,0.07343904974300314,,
DYR_ECOLI_Thompson_plusLon_2019,beneficial,2,-0.21272413789506978,0.01068164024988269,0.5064535919369945,-0.4716175869170464
DYR_ECOLI_Thompson_plusLon_2019,beneficial,3,-0.3716980425378215,0.015912362642322018,0.6794332376503639,-0.5722563397851331
DYR_ECOLI_Thompson_plusLon_2019,beneficial,4,-0.4892251221209047,-0.0005017608313722068,0.7432017256590071,-0.6648536480952346
DYR_ECOLI_Thompson_plusLon_2019,beneficial,5,-0.5712627509297135,-0.02410396765846132,0.7739673585238642,-0.7396824520082489
DYR_ECOLI_Thompson_plusLon_2019,beneficial,6,-0.6165343091196025,-0.01339265769151262,0.8042139108509286,-0.7715252742215282
DYR_ECOLI_Thompson_plusLon_2019,random,1,0.5501994176565673,0.5501994176565673,,
DYR_ECOLI_Thompson_plusLon_2019,random,2,0.559785048620842,0.5440060474499256,-0.19304808614794533,-0.47760267553194635
DYR_ECOLI_Thompson_plusLon_2019,random,3,0.5895499745524091,0.5222278485386782,-0.28631944110941,-0.6266589167191393
DYR_ECOLI_Thompson_plusLon_2019,random,4,0.6335518557954192,0.4951879524140839,-0.3848947513462918,-0.7055342738379587
DYR_ECOLI_Thompson_plusLon_2019,random,5,0.6512683925762782,0.47847045661886,-0.43574499700391994,-0.7673082812774
DYR_ECOLI_Thompson_plusLon_2019,random,6,0.6765147306240312,0.46130661203479845,-0.4914873549951542,-0.8077337189879211
