assay,seed,scorer,naive_gate,forward_gate,naive_pass,forward_pass,yield,yield_with_audit,random_yield
A4GRB6_PSEAI_Chen_2020,21,honest,0.7767441860465116,0.8210526315789475,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,adaptive_leak,0.7953488372093024,0.8210526315789475,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,pool_side,0.7767441860465116,0.8210526315789475,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,honest,0.8372093023255814,0.9894736842105264,True,True,4.0,2.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,adaptive_leak,0.8930232558139535,0.736842105263158,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,pool_side,0.8372093023255814,0.9894736842105264,True,True,1.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,23,honest,0.8697674418604651,0.9052631578947369,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,23,adaptive_leak,0.7441860465116279,0.33684210526315794,True,False,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,23,pool_side,0.8697674418604651,0.9052631578947369,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,24,honest,0.9209302325581395,0.9157894736842105,True,True,5.0,4.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,24,adaptive_leak,0.8279069767441861,0.8421052631578947,True,True,1.0,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,24,pool_side,0.9209302325581395,0.9157894736842105,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,25,honest,0.8465116279069768,0.8631578947368421,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,25,adaptive_leak,0.4744186046511628,0.4736842105263158,False,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,25,pool_side,0.8465116279069768,0.8631578947368421,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,honest,0.7395348837209302,0.631578947368421,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,adaptive_leak,0.9534883720930233,0.6315789473684211,True,True,1.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,pool_side,0.7395348837209302,0.631578947368421,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,honest,0.7813953488372093,0.7473684210526317,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,adaptive_leak,0.7813953488372094,0.45263157894736844,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,pool_side,0.7813953488372093,0.7473684210526317,True,True,0.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,honest,0.8558139534883721,0.7157894736842105,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,adaptive_leak,0.9395348837209303,0.6736842105263159,True,True,1.0,2.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,pool_side,0.8558139534883721,0.7157894736842105,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,honest,0.7953488372093024,0.7473684210526317,True,True,5.0,4.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,adaptive_leak,0.9116279069767441,0.5473684210526316,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,pool_side,0.7953488372093024,0.7473684210526317,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,honest,0.8930232558139535,0.7578947368421054,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,adaptive_leak,0.8093023255813954,0.4842105263157895,True,False,3.0,2.0,0.48426150121065376
