corpus,unit,n,bulk,util_0.01,util_0.1
SSMuLA,TrpB3A,7971,0.21813255815296942,0.43096996482022876,0.29546259981739037
SSMuLA,TrpB3B,7996,0.04143552363159284,0.1710559103095863,0.08798204243450286
SSMuLA,TrpB3C,7994,0.15754280698340623,0.22086618288872215,0.1470192869316179
SSMuLA,TrpB3D,7763,0.24421448994976794,0.456188036286144,0.47821301856325443
SSMuLA,TrpB3E,7964,0.03429852428525113,0.6518869719547348,0.2403210263243766
SSMuLA,TrpB3F,7737,0.10881887887069912,0.6670730518291202,0.3444222023703215
SSMuLA,TrpB3G,7891,0.07015577931596924,0.5477916913858003,0.4778563951058379
SSMuLA,TrpB3H,7716,-0.01571354840855631,0.5193505245651753,0.17332890908726847
SSMuLA,TrpB3I,7784,0.5436098533144563,0.7132416326447796,0.6094759259144705
SSMuLA,TrpB4,159129,0.18532855938500334,0.5101710091489777,0.5903574511673025
rubisco,rubisco Vmax,4923,0.2767484969973094,0.15347346459916208,0.20963193322378365
rubisco,rubisco K_C,4923,0.24613704825137273,0.21493651942611014,0.1678941869065015
rubisco,rubisco fitness,4923,0.279516883535704,0.16898457507793202,0.20749737134910645
