assay,scheme,n,bulk_base,bulk_recipe,util_base_0.01,util_recipe_0.01,util_base_0.1,util_recipe_0.1,d_bulk,d_util_0.01,d_util_0.1
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,modulo,7467,0.49975607523470644,0.5295224308806188,0.30087950825691223,0.2791273593902588,0.40427079796791077,0.44186267256736755,0.029766355645912346,-0.021752148866653442,0.03759187459945679
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,contiguous,7467,0.42584271451604994,0.5326760816926939,0.23958733677864075,0.2139587551355362,0.3043883442878723,0.4178053140640259,0.10683336717664393,-0.025628581643104553,0.11341696977615356
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,random,7467,0.7134050109756697,0.7144376873135182,0.5207828283309937,0.5429035425186157,0.8074415922164917,0.8057172298431396,0.001032676337848537,0.02212071418762207,-0.0017243623733520508
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,modulo,7467,0.4781625623656923,0.5073601140693552,0.15605008602142334,0.1462032049894333,0.22240416705608368,0.2503550052642822,0.029197551703662894,-0.009846881031990051,0.027950838208198547
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,contiguous,7467,0.31771106539586536,0.5099225373779399,-0.013428406789898872,0.07190068066120148,0.0610494427382946,0.2362452745437622,0.19221147198207456,0.08532908745110035,0.1751958318054676
P53_HUMAN_Giacomelli_WT_Nutlin_2018,random,7467,0.8676989001149228,0.8700144167455579,0.5560570955276489,0.5856525301933289,0.73664790391922,0.7448822855949402,0.002315516630635117,0.02959543466567993,0.008234381675720215
P53_HUMAN_Giacomelli_WT_Nutlin_2018,modulo,7467,0.4355705111508671,0.47642137525406064,0.30770763754844666,0.3035954236984253,0.29204803705215454,0.35559114813804626,0.04085086410319355,-0.004112213850021362,0.06354311108589172
P53_HUMAN_Giacomelli_WT_Nutlin_2018,contiguous,7467,0.16366569490575344,0.48880479192644866,0.002637568162754178,0.31149807572364807,0.03321269899606705,0.3802730143070221,0.3251390970206952,0.3088605075608939,0.34706031531095505
PTEN_HUMAN_Mighell_2018,random,7260,0.620566690191777,0.6458445849687198,0.4789327085018158,0.5207539200782776,0.5398692488670349,0.5978543162345886,0.025277894776942755,0.04182121157646179,0.05798506736755371
PTEN_HUMAN_Mighell_2018,modulo,7260,0.5151552202729387,0.5639796537510708,0.30883297324180603,0.377507746219635,0.45411309599876404,0.46057334542274475,0.048824433478132145,0.06867477297782898,0.006460249423980713
PTEN_HUMAN_Mighell_2018,contiguous,7260,0.489892331271053,0.5531834472704361,0.2950771152973175,0.2732430398464203,0.44520464539527893,0.4362151026725769,0.06329111599938309,-0.021834075450897217,-0.008989542722702026
MK01_HUMAN_Brenan_2016,random,6809,0.5153377876340903,0.5306545443795386,0.37032607197761536,0.3609444797039032,0.5127041935920715,0.5008867383003235,0.015316756745448301,-0.009381592273712158,-0.011817455291748047
MK01_HUMAN_Brenan_2016,modulo,6809,0.2073612525026607,0.22210262997570807,0.3005721867084503,0.3435114026069641,0.27612993121147156,0.29747551679611206,0.014741377473047379,0.042939215898513794,0.021345585584640503
MK01_HUMAN_Brenan_2016,contiguous,6809,0.12776028500432596,0.22983748095616333,0.13849103450775146,0.21712930500507355,0.11000106483697891,0.28831979632377625,0.10207719595183737,0.07863827049732208,0.17831873148679733
CP2C9_HUMAN_Amorosi_abundance_2021,random,6370,0.7865430208186597,0.7852317109700647,0.5125234723091125,0.5364058017730713,0.6528324484825134,0.6696367859840393,-0.0013113098485949548,0.02388232946395874,0.01680433750152588
