assay,n_obs,seed,own,supplied
A4GRB6_PSEAI_Chen_2020,96,23,1.511002444987775,4.511002444987775
A4GRB6_PSEAI_Chen_2020,96,24,2.530562347188264,4.530562347188264
A4GRB6_PSEAI_Chen_2020,96,25,1.511002444987775,4.511002444987775
A4GRB6_PSEAI_Chen_2020,96,26,0.511002444987775,4.511002444987775
A4GRB6_PSEAI_Chen_2020,96,27,1.5207823960880196,4.52078239608802
A4GRB6_PSEAI_Chen_2020,96,28,-0.4792176039119804,4.52078239608802
A4GRB6_PSEAI_Chen_2020,96,29,5.530562347188264,4.530562347188264
A4GRB6_PSEAI_Chen_2020,96,30,0.5207823960880196,4.52078239608802
A4GRB6_PSEAI_Chen_2020,96,31,1.5207823960880196,3.52078239608802
A4GRB6_PSEAI_Chen_2020,96,32,-0.4889975550122249,4.511002444987775
A4GRB6_PSEAI_Chen_2020,96,33,0.5207823960880196,4.52078239608802
A4GRB6_PSEAI_Chen_2020,96,34,-0.4792176039119804,4.52078239608802
A4GRB6_PSEAI_Chen_2020,96,35,-0.4792176039119804,4.52078239608802
A4GRB6_PSEAI_Chen_2020,96,36,1.5305623471882641,4.530562347188264
A4GRB6_PSEAI_Chen_2020,96,37,0.511002444987775,4.511002444987775
A4GRB6_PSEAI_Chen_2020,96,38,12.530562347188264,4.530562347188264
A4GRB6_PSEAI_Chen_2020,96,39,8.530562347188264,4.530562347188264
A4GRB6_PSEAI_Chen_2020,192,0,-0.49875311720698257,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,1,1.5211970074812968,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,2,-0.49875311720698257,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,3,1.5012468827930174,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,4,-0.49875311720698257,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,5,0.5112219451371571,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,6,-0.49875311720698257,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,7,-0.47880299251870323,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,8,3.521197007481297,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,9,1.5311720698254363,4.531172069825437
A4GRB6_PSEAI_Chen_2020,192,10,4.521197007481296,3.521197007481297
A4GRB6_PSEAI_Chen_2020,192,11,1.5311720698254363,3.5311720698254363
A4GRB6_PSEAI_Chen_2020,192,12,-0.4688279301745636,4.531172069825437
A4GRB6_PSEAI_Chen_2020,192,13,5.521197007481296,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,14,7.561097256857855,3.561097256857855
A4GRB6_PSEAI_Chen_2020,192,15,2.511221945137157,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,16,-0.48877805486284287,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,17,-0.47880299251870323,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,18,5.531172069825437,4.531172069825437
A4GRB6_PSEAI_Chen_2020,192,19,3.521197007481297,3.521197007481297
A4GRB6_PSEAI_Chen_2020,192,20,4.521197007481296,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,21,-0.48877805486284287,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,22,4.531172069825437,4.531172069825437
A4GRB6_PSEAI_Chen_2020,192,23,5.541147132169576,3.541147132169576
A4GRB6_PSEAI_Chen_2020,192,24,0.5112219451371571,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,25,0.5211970074812968,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,26,0.5211970074812968,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,27,2.511221945137157,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,28,-0.48877805486284287,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,29,5.521197007481296,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,30,3.511221945137157,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,31,7.521197007481296,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,32,-0.48877805486284287,4.511221945137157
A4GRB6_PSEAI_Chen_2020,192,33,-0.49875311720698257,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,34,0.5211970074812968,3.521197007481297
A4GRB6_PSEAI_Chen_2020,192,35,3.511221945137157,3.511221945137157
A4GRB6_PSEAI_Chen_2020,192,36,4.541147132169576,3.541147132169576
A4GRB6_PSEAI_Chen_2020,192,37,-0.47880299251870323,4.521197007481296
A4GRB6_PSEAI_Chen_2020,192,38,-0.49875311720698257,4.501246882793017
A4GRB6_PSEAI_Chen_2020,192,39,7.541147132169576,3.541147132169576
A4GRB6_PSEAI_Chen_2020,384,0,0.5012987012987014,4.501298701298701
A4GRB6_PSEAI_Chen_2020,384,1,3.522077922077922,4.522077922077922
A4GRB6_PSEAI_Chen_2020,384,2,9.522077922077923,3.522077922077922
A4GRB6_PSEAI_Chen_2020,384,3,4.511688311688312,3.5116883116883115
A4GRB6_PSEAI_Chen_2020,384,4,1.4805194805194806,4.48051948051948
A4GRB6_PSEAI_Chen_2020,384,5,9.542857142857143,3.5428571428571427
A4GRB6_PSEAI_Chen_2020,384,6,2.522077922077922,3.522077922077922
A4GRB6_PSEAI_Chen_2020,384,7,2.5428571428571427,4.542857142857143
